Sup,Transect,Unit,STP,Stratum,Depth,Munsell 1,Munsell 2,Munsell 3,Munsell,Texture,Horizon,Notes/Inclusions,Site Name,Site Location,Depth Unit,STP Entry Type,Parent STP,Recorded STP Label,GPS Latitude,GPS Longitude
,A,1,A1,1,0.40,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,James,Howard,engineering-feet,base,,A1,39.1659993,-76.7206855
,A,1,A1,2,0.80,10YR,4/,4,10YR4/4,Silty sandy loam,C,"Daub, Shell, Cut Nail, Gravel",James,Howard,engineering-feet,base,,A1,39.1659992,-76.7206855
,A,1,A1,3,1.10,10YR,3/,6,10YR3/6,Silty clay loam,Bt,,James,Howard,engineering-feet,base,,A1,39.1659991,-76.7206854
,A,2,A2,1,0.50,10YR,3/,3,10YR3/3,Silt loam,AC,,James,Howard,engineering-feet,base,,A2,39.165999,-76.7206854
,A,2,A2,2,0.80,10YR,3/,6,10YR3/6,Silt loam,C,"Coal, HW nail, Oyster, Glass",James,Howard,engineering-feet,base,,A2,39.1659991,-76.7206855
,A,2,A2,3,1.00,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,James,Howard,engineering-feet,base,,A3,39.1659992,-76.7206854
,A,3,A3,1,0.40,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,James,Howard,engineering-feet,base,,A3,39.1659993,-76.7206854
,A,3,A3,2,0.80,10YR,5/,1,10YR5/1,Silty clay loam,C,"Gravel, Oyster",James,Howard,engineering-feet,base,,A4,39.1659993,-76.7206855
,A,3,A3,3,1.00,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,James,Howard,engineering-feet,base,,A4,39.1659993,-76.7206855
,A,4,A4,1,0.40,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659992,-76.7206854
,A,4,A4,2,0.90,10YR,3/,6,10YR3/6,Silt loam,C,Coal ,,,,,,,39.1659992,-76.7206855
,A,4,A4,3,1.10,10YR,5/,6,10YR5/6,Sandy Silt Loam,Bt,,,,,,,,39.1659992,-76.7206854
,A,5,A5,1,0.30,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1659992,-76.7206854
,A,5,A5,2,0.90,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1659992,-76.7206855
,A,6,A6,1,0.50,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659993,-76.7206855
,A,6,A6,2,0.90,10YR,5/,4,10YR5/4,Sandy Silt Loam,Bt,,,,,,,,39.1659993,-76.7206855
,A,7,A7,1,0.30,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1659995,-76.7206856
,A,7,A7,2,0.80,10YR,5/,6,10YR5/6,Silty clay loam,Bt,,,,,,,,39.1660002,-76.7206821
,A,8,A8,1,0.30,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659987,-76.7206765
,A,8,A8,2,0.55,10YR,3/,4,10YR3/4,Silt loam,C,"Mod Brick, Oyster",,,,,,,39.1659834,-76.720659
,A,8,A8,3,0.70,10YR,5/,4,10YR5/4,Sandy Silt Loam,Bt,,,,,,,,39.1659757,-76.7206471
,A,9,A9,1,0.40,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1659663,-76.7206363
,A,9,A9,2,0.90,10YR,5/,6,10YR5/6,Silty clay loam,Bt,,,,,,,,39.1659578,-76.7206263
